Taxon Name,class
Stauroneis sp.,Diatoms (Bacillariophyta)
Stauroneis sp. 1 ?,Diatoms (Bacillariophyta)
Stenopterobia curvula (Smith) Krammer in Lange-Bertalot and Krammer,Diatoms (Bacillariophyta)
Stenopterobia sp.,Diatoms (Bacillariophyta)
Stenopterobia sp. 1 ?,Diatoms (Bacillariophyta)
Stenopterobia spp. ,Diatoms (Bacillariophyta)
Stephanodiscus sp.,Diatoms (Bacillariophyta)
Stephanodiscus sp. 1 ? ,Diatoms (Bacillariophyta)
Stigeoclonium lubricum (Dillwyn) Kützing,Green Algae (Chlorophyta)
Stigonema sp.,Blue-Green Algae (Cyanobacteria)
Stigonema sp. ,Blue-Green Algae (Cyanobacteria)
Strombomonas deflandrei (Roll) Deflandre,Euglenoids (Euglenophyta)
Surirella sp.,Diatoms (Bacillariophyta)
Surirella sp. 1 ?,Diatoms (Bacillariophyta)
Synechococcus aeruginosus Nägeli,Blue-Green Algae (Cyanobacteria)
Synechococcus cedrorum Sauvageau,Blue-Green Algae (Cyanobacteria)
Synechococcus sp.,Blue-Green Algae (Cyanobacteria)
Synechococcus sp. ,Blue-Green Algae (Cyanobacteria)
Synedra sp.,Diatoms (Bacillariophyta)
Synedra sp. 1 ?,Diatoms (Bacillariophyta)
Synura sp.,Yellow-Green Algae (Chrysophyta)
Tabellaria fenestrata (Lyngbye) Kützing,Diatoms (Bacillariophyta)
Tabellaria flocculosa (Roth) Kützing,Diatoms (Bacillariophyta)
Tetmemorus brebissonii var. minor deBary,Green Algae (Chlorophyta)
Tetradesmus smithii Prescott,Green Algae (Chlorophyta)
Tetraedron caudatum (Corda) Hansgirg,Green Algae (Chlorophyta)
Tetraedron minimum (A.Braun) Hansgirg,Green Algae (Chlorophyta)
Tetraedron minimum (Braun) Hansgirg,Green Algae (Chlorophyta)
Tetraspora sp.,Green Algae (Chlorophyta)
Tetraspora sp. ,Green Algae (Chlorophyta)
Trachelomonas abrupta (Swirenko) Deflandre,Euglenoids (Euglenophyta)
Trachelomonas acanthophora Stokes,Euglenoids (Euglenophyta)
Trachelomonas armata Ehrenberg,Euglenoids (Euglenophyta)
Trachelomonas bacillifer Playfair,Euglenoids (Euglenophyta)
Trachelomonas cylindrica Ehrenberg,Euglenoids (Euglenophyta)
Trachelomonas hispida (Perty) Stein,Euglenoids (Euglenophyta)
Trachelomonas horrida Palmer,Euglenoids (Euglenophyta)
Trachelomonas kelloggii (Skvortzow) Deflandre,Euglenoids (Euglenophyta)
Trachelomonas pulchella Deflandre,Euglenoids (Euglenophyta)
Trachelomonas sp.,Euglenoids (Euglenophyta)
Trachelomonas volvocina Ehrenberg,Euglenoids (Euglenophyta)
Tribonema bombycinum (Agardh) Derbes et Solier,Yellow-Green Algae (Chrysophyta)
Trichodesmium lacustre Klebahn,Blue-Green Algae (Cyanobacteria)
Triploceras gracile Bailey,Green Algae (Chlorophyta)
Ulothrix subtilissima Rabenhorst,Green Algae (Chlorophyta)
Und. diatom genera CAF ,Diatoms (Bacillariophyta)
Undetermined centric diatom,Diatoms (Bacillariophyta)
Undetermined Centric sp. 1 ?,Diatoms (Bacillariophyta)
Undetermined Pennate,Diatoms (Bacillariophyta)
Undetermined pennate diatom,Diatoms (Bacillariophyta)
Unk. Dinoflagellate alga ,Dinoflagellates (Pyrrhophyta)
Unk. Dinoflagellate cyst ,Dinoflagellates (Pyrrhophyta)
Unk. Dinoflagellate sp. 1 ANS FWA Adirondack ,Dinoflagellates (Pyrrhophyta)
Unknown alga flagellate,Unknown/Undetermined Phyla
Unknown alga flagellate ,Unknown/Undetermined Phyla
Unknown alga flagellate (<10µ),Unknown/Undetermined Phyla
Unknown alga flagellate (<10µ) ,Unknown/Undetermined Phyla
"Unknown alga flagellate, 3-8µ, elongate FWA Adirondacks",Unknown/Undetermined Phyla
"Unknown alga flagellate, lobed, 3-8µ ANS FWA Adiro",Unknown/Undetermined Phyla
"Unknown alga flagellate, lobed, 3-8µ ANS FWA Adirondacks",Unknown/Undetermined Phyla
"Unknown alga flagellate, oblong, 3-8µ ANS FWA Adir",Unknown/Undetermined Phyla
"Unknown alga flagellate, oblong, 3-8µ ANS FWA Adirondacks",Unknown/Undetermined Phyla
"Unknown alga flagellate, spherical 3µ ANS FWA MEDP",Unknown/Undetermined Phyla
"Unknown alga flagellate, spindle-shaped ANS FWA Ad",Unknown/Undetermined Phyla
Unknown alga sp.,Unknown/Undetermined Phyla
Unknown alga sp. ,Unknown/Undetermined Phyla
Unknown Chlorophyte Chlorococcales sp.1 MEDP FWA,Green Algae (Chlorophyta)
Unknown Chlorophyte coccoid (<10µ),Green Algae (Chlorophyta)
Unknown Chlorophyte coccoid (<10µ) ,Green Algae (Chlorophyta)
Unknown Chlorophyte coccoid (3-5µ),Green Algae (Chlorophyta)
Unknown Chlorophyte coccoid (3-5µ) ,Green Algae (Chlorophyta)
Unknown Chlorophyte coccoid (5-10µ),Green Algae (Chlorophyta)
Unknown Chlorophyte coccoid (5-10µ) ,Green Algae (Chlorophyta)
Unknown Chlorophyte colonial coccoid,Green Algae (Chlorophyta)
Unknown Chlorophyte colonial coccoid ,Green Algae (Chlorophyta)
Unknown Chlorophyte colonial coccoid (aggregate) ANS FWA MEDP,Green Algae (Chlorophyta)
Unknown Chlorophyte sp. 1 ANS FWA Adirondacks,Green Algae (Chlorophyta)
Unknown Chrysophyte (epiphyte) ,Yellow-Green Algae (Chrysophyta)
Unknown Chrysophyte loricate (bell-shaped) ANS FWA,Yellow-Green Algae (Chrysophyta)
Unknown Chrysophyte sp.,Yellow-Green Algae (Chrysophyta)
Unknown Chrysophyte sp. ,Yellow-Green Algae (Chrysophyta)
unknown chrysophyte sp. 1 ANS FWA Adirondack,Yellow-Green Algae (Chrysophyta)
Unknown Chrysophyte sp. 1 ANS FWA Adirondacks,Yellow-Green Algae (Chrysophyta)
Unknown Chrysophyte sp. 2 ANS FWA Adirondacks,Yellow-Green Algae (Chrysophyta)
Unknown Chrysophyte sp. 2 ANS FWA Adirondacks ,Yellow-Green Algae (Chrysophyta)
Unknown Chrysophyte sp. 3 ANS FWA Adirondacks,Yellow-Green Algae (Chrysophyta)
Unknown Chrysophyte sp. 3 ANS FWA Adirondacks ,Yellow-Green Algae (Chrysophyta)
Unknown Chrysophyte sp. 4 ANS FWA Adirondacks,Yellow-Green Algae (Chrysophyta)
Unknown Cryptophyte sp. 1 ANS FWA,Cryptophytes (Cryptophyta)
Unknown Cryptophyte sp. 1 ANS FWA Adirondacks,Cryptophytes (Cryptophyta)
Unknown Cryptophyte sp. 1 ANS FWA Adirondacks ,Cryptophytes (Cryptophyta)
Unknown Cyanophyte (coccoid rod),Blue-Green Algae (Cyanobacteria)
Unknown Cyanophyte (coccoid rod) ,Blue-Green Algae (Cyanobacteria)
Unknown Cyanophyte (colonial coccoid),Blue-Green Algae (Cyanobacteria)
Unknown Cyanophyte (colonial coccoid) ,Blue-Green Algae (Cyanobacteria)
Unknown Cyanophyte coccoid (1-3µ),Blue-Green Algae (Cyanobacteria)
Unknown Cyanophyte coccoid (1-3µ) ,Blue-Green Algae (Cyanobacteria)
Unknown Cyanophyte coccoid (3-5µ),Blue-Green Algae (Cyanobacteria)
Unknown Cyanophyte coccoid (3-5µ) ,Blue-Green Algae (Cyanobacteria)
Unknown Cyanophyte coccoid (5-10µ ,Blue-Green Algae (Cyanobacteria)
Unknown Cyanophyte coccoid (5-10µ),Blue-Green Algae (Cyanobacteria)
Unknown Cyanophyte filament,Blue-Green Algae (Cyanobacteria)
Unknown Cyanophyte filament ,Blue-Green Algae (Cyanobacteria)
Unknown Cyanophyte filament (heterocytes),Blue-Green Algae (Cyanobacteria)
Unknown Cyanophyte sp. 1 ANS FWA Adirondacks,Blue-Green Algae (Cyanobacteria)
Unknown Cyanophyte sp. 1 ANS FWA Adirondacks ,Blue-Green Algae (Cyanobacteria)
Unknown Dinoflagellate alga,Dinoflagellates (Pyrrhophyta)
Unknown Dinoflagellate cyst,Dinoflagellates (Pyrrhophyta)
Unknown Dinoflagellate sp. 1 ANS FWA Adirondack,Dinoflagellates (Pyrrhophyta)
Unknown Dinoflagellate sp. 1 ANS FWA Adirondacks,Dinoflagellates (Pyrrhophyta)
Uroglena gracilis Bourrelly,Yellow-Green Algae (Chrysophyta)
Urosolenia eriensis (Smith) Round et Crawford ex R,Diatoms (Bacillariophyta)
"Urosolenia eriensis (Smith) Round et Crawford in Round, Crawford et Mann",Diatoms (Bacillariophyta)
Woronichinia sp.,Blue-Green Algae (Cyanobacteria)
Xanthidium antilopaeum (Brébisson) Kützing,Green Algae (Chlorophyta)
Xanthidium antilopaeum var. polymazum Nordstedt,Green Algae (Chlorophyta)
Xanthidium armatum var. cervicorne W. West et G.S. West,Green Algae (Chlorophyta)
Xanthidium johnsonii West & West,Green Algae (Chlorophyta)
Xanthidium johnsonii West et West,Green Algae (Chlorophyta)
Xanthidium sp.,Green Algae (Chlorophyta)
Xanthidium sp. ,Green Algae (Chlorophyta)
Xanthidium subhastiferum West,Green Algae (Chlorophyta)
Zygnema sp.,Green Algae (Chlorophyta)
Zygnema sp. ,Green Algae (Chlorophyta)
